P,land,soil,ET,I,R
5,developed_open,2,0.49949099999999996,2.789320715221309,1.7111882847786914
5,developed_open,3,0.49949099999999996,2.26249527844382,2.23801372155618
5,developed_low,0,0.22082759999999999,3.601877124409449,1.1772952755905512
5,developed_low,1,0.22082759999999999,2.9586330299212595,1.8205393700787402
5,developed_low,2,0.22082759999999999,2.6830821160921063,2.096090283907894
5,developed_low,3,0.22082759999999999,2.23431943282179,2.54485296717821
5,developed_med,0,0.09464039999999999,2.5023989700787403,2.40296062992126
5,developed_med,1,0.09464039999999999,2.076796607874016,2.8285629921259843
5,developed_med,2,0.09464039999999999,2.019596553865724,2.8857630461342763
5,developed_med,3,0.09464039999999999,1.6397695195868054,3.2655900804131948
5,developed_high,0,0.0315468,1.443724853543307,3.524728346456693
5,developed_high,1,0.0315468,1.1241697354330706,3.8442834645669293
5,developed_high,2,0.0315468,1.119287845669291,3.849165354330709
5,developed_high,3,0.0315468,1.0468791787153162,3.921574021284684
5,barren_land,0,0.15773399999999999,3.746610033647145,1.0956559663528551
5,barren_land,1,0.15773399999999999,2.7461757160921065,2.096090283907894
5,barren_land,2,0.15773399999999999,1.956502953865724,2.8857630461342763
5,barren_land,3,0.15773399999999999,1.3703723283422424,3.4718936716577575
5,deciduous_forest,0,0.52578,4.47422,0.0
5,deciduous_forest,1,0.52578,4.441308677255148,0.032911322744852194
5,deciduous_forest,2,0.52578,3.8929397046388377,0.5812802953611624
5,deciduous_forest,3,0.52578,3.378564033647145,1.0956559663528551
5,shrub,0,0.473202,4.526798,0.0
5,shrub,1,0.473202,4.478279914106608,0.04851808589339248
5,shrub,2,0.473202,3.9455177046388377,0.5812802953611624
5,shrub,3,0.473202,3.4311420336471454,1.0956559663528551
5,grassland,0,0.5678424000000001,4.4321576,0.0
5,grassland,1,0.5678424000000001,4.343591072377364,0.08856652762263643
5,grassland,2,0.5678424000000001,3.7888329236835343,0.6433246763164658
5,grassland,3,0.5678424000000001,3.246393454304669,1.1857641456953314
5,pasture,0,0.49949099999999996,4.500509,0.0
5,pasture,1,0.49949099999999996,4.329874658554889,0.17063434144511103
5,pasture,2,0.49949099999999996,3.64898064557023,0.8515283544297702
5,pasture,3,0.49949099999999996,3.120260984126984,1.3802480158730162
5,cultivated_crops,0,0.6046469999999999,3.979614215106694,0.4157387848933065
5,cultivated_crops,1,0.6046469999999999,3.209588854304669,1.1857641456953314
5,cultivated_crops,2,0.6046469999999999,2.43411559410314,1.961237405896861
5,cultivated_crops,3,0.6046469999999999,1.8505000328217904,2.54485296717821
5,woody_wetlands,0,0.6309359999999999,4.369064000000001,0.0
5,woody_wetlands,1,0.6309359999999999,4.369064000000001,0.0
5,woody_wetlands,2,0.6309359999999999,4.369064000000001,0.0
5,woody_wetlands,3,0.6309359999999999,4.369064000000001,0.0
8,open_water,0,0.34307144999999994,0.0,7.65692855
8,open_water,1,0.34307144999999994,0.0,7.65692855
8,open_water,2,0.34307144999999994,0.0,7.65692855
8,open_water,3,0.34307144999999994,0.0,7.65692855
8,developed_open,0,0.49949099999999996,6.154127897637795,1.3463811023622048
8,developed_open,1,0.49949099999999996,4.808222598074609,2.69228640192539
8,developed_open,2,0.49949099999999996,3.5180077921252306,3.982501207874769
8,developed_open,3,0.49949099999999996,2.749749050029974,4.750759949970025
8,developed_low,0,0.22082759999999999,5.8306936598425185,1.9484787401574801
8,developed_low,1,0.22082759999999999,4.316412461162079,3.4627599388379204
8,developed_low,2,0.22082759999999999,3.2290586845030096,4.55011371549699
8,developed_low,3,0.22082759999999999,2.608780419477964,5.170391980522036
8,developed_med,0,0.09464039999999999,3.9059013322834635,3.999458267716536
8,developed_med,1,0.09464039999999999,2.9479103949174386,4.957449205082561
8,developed_med,2,0.09464039999999999,2.2894161915728395,5.61594340842716
8,developed_med,3,0.09464039999999999,1.8159967632626506,6.089362836737349
8,developed_high,0,0.0315468,2.1083146173228346,5.860138582677164
8,developed_high,1,0.0315468,1.5725161921259843,6.395937007874015
8,developed_high,2,0.0315468,1.3756129517470577,6.592840248252942
8,developed_high,3,0.0315468,1.1118439937704065,6.856609206229592
8,barren_land,0,0.15773399999999999,4.855397997230358,2.9868680027696417
8,barren_land,1,0.15773399999999999,3.29215228450301,4.55011371549699
8,barren_land,2,0.15773399999999999,2.226322591572839,5.61594340842716
8,barren_land,3,0.15773399999999999,1.5050688857015968,6.3371971142984025
8,deciduous_forest,0,0.52578,7.47422,0.0
8,deciduous_forest,1,0.52578,6.874290343124095,0.5999296568759055
8,deciduous_forest,2,0.52578,5.444982165331248,2.0292378346687507
8,deciduous_forest,3,0.52578,4.487351997230357,2.9868680027696417
8,shrub,0,0.473202,7.526797999999999,0.0
8,shrub,1,0.473202,6.856313293957355,0.6704847060426455
8,shrub,2,0.473202,5.497560165331248,2.0292378346687507
8,shrub,3,0.473202,4.539929997230358,2.9868680027696417
8,grassland,0,0.5678424000000001,7.432157599999999,0.0
8,grassland,1,0.5678424000000001,6.610024895402578,0.8221327045974213
8,grassland,2,0.5678424000000001,5.278349856539375,2.153807743460624
8,grassland,3,0.5678424000000001,4.291311300596785,3.140846299403215
8,pasture,0,0.49949099999999996,7.500434723789805,7.427621019453061e-05
8,pasture,1,0.49949099999999996,6.424703226345448,1.0758057736545517
8,pasture,2,0.49949099999999996,4.949037142538425,2.551471857461574
8,pasture,3,0.49949099999999996,4.037749061162079,3.4627599388379204
8,cultivated_crops,0,0.6046469999999999,5.716853553194775,1.6784994468052252
8,cultivated_crops,1,0.6046469999999999,4.254506700596785,3.140846299403215
8,cultivated_crops,2,0.6046469999999999,3.040041201844508,4.355311798155491
8,cultivated_crops,3,0.6046469999999999,2.2249610194779637,5.170391980522036
